"","Journal","Rank","Source","IF"
"4972","Cultural Sociology","B","ERA",1.224
"4973","Cultural Studies","B","ERA",1.195
"4974","Cultural Studies - Critical Methodologies","B","ERA",NA
"4975","Cultural Studies Review","A","ERA",0.149
"4976","Cultural Trends","B","ERA",1.838
"4977","Culture and Agriculture","B","ERA",NA
"4978","Culture and Cosmos","C","ERA",NA
"4979","Culture and History","B","ERA",NA
"4980","Culture and Psychology","B","ERA",1.71
"4981","Culture and Religion","C","ERA",NA
"4982","Culture Machine","B","ERA",NA
"4983","Culture, Health and Sexuality","B","ERA",NA
"4984","Culture, Medicine and Psychiatry: an international journal of comparative cross-cultural research","A","ERA",NA
"4985","Culture, Theory and Critique","A","ERA",NA
"4986","Cultures and Organizations","C","ERA",NA
"4987","Cultures of the Commonwealth : essays and studies","B","ERA",NA
"4988","Cumberland Law Review","C","ERA",NA
"4989","Cunninghamia","C","ERA",NA
"4990","Curationis: accredited research journal of the Democratic Nursing Organisation of South Africa","C","ERA",NA
"4991","Curator: the Museum journal","A+","ERA",NA
"4992","Current (Washington, 1960)","C","ERA",NA
"4993","Current Allergy and Clinical Immunology","C","ERA",NA
"4994","Current Alzheimer Research","B","ERA",3.047
"4995","Current Analytical Chemistry","C","ERA",1.365
"4996","Current and Vascular Pharmacology","B","ERA",NA
"4997","Current Anthropology","A+","ERA",3.293
"4998","Current Applied Physics","B","ERA",2.281
"4999","Current Bioactive Compounds","C","ERA",NA
"5000","Current Bioinformatics","C","ERA",2.068
"5001","Current Biology","A+","ERA",9.601
"5002","Current Cancer Drug Targets","A","ERA",2.912
"5003","Current Cancer Therapy Reviews","C","ERA",NA
"5004","Current Clinical Pharmacology","C","ERA",NA
"5005","Current Development in Theory and Applications of Wavelets","C","ERA",NA
"5006","Current Diabetes Reviews","C","ERA",NA
"5007","Current Directions in Psychological Science","A","ERA",5.117
"5008","Current Drug Delivery","C","ERA",1.582
"5009","Current Drug Discovery Technologies","C","ERA",NA
"5010","Current Drug Metabolism","A+","ERA",2.96
"5011","Current Drug Safety","C","ERA",NA
"5012","Current Drug Targets","B","ERA",2.632
"5013","Current Drug Therapy","C","ERA",NA
"5014","Current Eye Research","C","ERA",1.754
"5015","Current Family Law","C","ERA",NA
"5016","Current Gene Therapy: the international journal for in-depth reviews on gene therapy","C","ERA",NA
"5017","Current Genetics: lower eukaryotes and organelles","B","ERA",NA
"5018","Current Genomics","C","ERA",2.63
"5019","Current HIV Research","A","ERA",0.802
"5020","Current Hypertension Reports","C","ERA",3.856
"5021","Current Hypertension Reviews","C","ERA",NA
"5022","Current Immunology Reviews","C","ERA",NA
"5023","Current Issues in Comparative Education (CISE)","B","ERA",NA
"5024","Current Issues in Criminal Justice","B","ERA",NA
"5025","Current Issues in Education","B","ERA",NA
"5026","Current Issues in Language Planning","A","ERA",0.9
"5027","Current Issues in Middle Level Education","C","ERA",NA
"5028","Current Issues in Molecular Biology","C","ERA",2.695
"5029","Current Issues in Music","C","ERA",NA
"5030","Current Issues in Tourism","B","ERA",4.147
"5031","Current Legal Problems","A+","ERA",0.708
"5032","Current Medical Literature Psychiatry","C","ERA",NA
"5033","Current Medical Literature. Gastroenterology","C","ERA",NA
"5034","Current Medical Research and Opinion","B","ERA",2.271
"5035","Current Medicinal Chemistry","B","ERA",4.184
"5036","Current Microbiology: an international journal","C","ERA",NA
"5037","Current Molecular Medicine","B","ERA",1.6
"5038","Current Musicology","A","ERA",NA
"5039","Current Nanoscience","B","ERA",1.836
"5040","Current Opinion in Allergy and Clinical Immunology","A","ERA",3.246
"5041","Current Opinion in Anaesthesiology","A","ERA",NA
"5042","Current Opinion in Biotechnology","A","ERA",8.288
"5043","Current Opinion in Cardiology","B","ERA",2.149
"5044","Current Opinion in Cell Biology","A","ERA",8.24
"5045","Current Opinion in Chemical Biology","A","ERA",9.689
"5046","Current Opinion in Clinical Nutrition and Metabolic Care","C","ERA",3.775
"5047","Current Opinion in Colloid and Interface Science","A","ERA",6.79
"5048","Current Opinion in Drug Discovery and Development","A","ERA",NA
"5049","Current Opinion in Endocrinology, Diabetes and Obesity","C","ERA",NA
"5050","Current Opinion in Gastroenterology","C","ERA",3.225
"5051","Current Opinion in Genetics and Development","A","ERA",5.512
"5052","Current Opinion in Hematology","C","ERA",3.097
"5053","Current Opinion in HIV and AIDS","B","ERA",3.722
"5054","Current Opinion in Immunology","A","ERA",7.29
"5055","Current Opinion in Infectious Diseases","A","ERA",4.577
"5056","Current Opinion in Investigational Drugs","C","ERA",NA
"5057","Current Opinion in Lipidology","A","ERA",4.254
"5058","Current Opinion in Microbiology","A","ERA",8.134
"5059","Current Opinion in Molecular Therapeutics","B","ERA",NA
"5060","Current Opinion in Nephrology and Hypertension","A","ERA",2.539
"5061","Current Opinion in Neurobiology","A+","ERA",6.267
"5062","Current Opinion in Neurology","A","ERA",4.207
"5063","Current Opinion in Obstetrics and Gynecology","B","ERA",2.227
"5064","Current Opinion in Oncology","A","ERA",3.336
"5065","Current Opinion in Ophthalmology","A","ERA",2.983
"5066","Current Opinion in Pediatrics","B","ERA",2.114
"5067","Current Opinion in Pharmacology","A","ERA",4.807
"5068","Current Opinion in Plant Biology","A+","ERA",8.356
"5069","Current Opinion in Psychiatry","B","ERA",4.392
"5070","Current Opinion in Psychiatry","B","ERA",4.392
"5071","Current Opinion in Rheumatology","A","ERA",4.006
"5072","Current Opinion in Solid State and Materials Science","B","ERA",9.571
"5073","Current Opinion in Structural Biology","A","ERA",6.908
"5074","Current Opinion in Supportive and Palliative Care","B","ERA",1.618
"5075","Current Opinion in Urology","A","ERA",2.152
"5076","Current Organic Chemistry","B","ERA",1.933
"5077","Current Pain and Headache Reports","C","ERA",2.985
"5078","Current Pediatric Reviews","C","ERA",NA
"5079","Current Perspectives in Social Theory","C","ERA",0
"5080","Current Pharmaceutical Analysis","C","ERA",0.923
"5081","Current Pharmaceutical Biotechnology","B","ERA",2.097
"5082","Current Pharmaceutical Design","A","ERA",2.208
"5083","Current Pharmacogenomics and Personalized Medicine: the international journal for expert
reviews in pharmacogenomics","C","ERA",NA
"5084","Current Politics and Economics of Europe","C","ERA",NA
"5085","Current Practice","C","ERA",NA
"5086","Current Practice Dental Hygiene","C","ERA",NA
"5087","Current Problems in Cancer","C","ERA",3.264
"5088","Current Problems in Cardiology","A","ERA",2.966
"5089","Current Problems in Pediatric and Adolescent Health Care","C","ERA",1.677
"5090","Current Problems in Surgery","C","ERA",1.577
"5091","Current Protein and Peptide Science","C","ERA",2.52
"5092","Current Proteomics: the journal for current and in-depth reviews on proteomics","C","ERA",NA
"5093","Current Protocols in Stem Cell Biology","B","ERA",NA
"5094","Current Psychiatry Reviews","C","ERA",NA
"5095","Current Psychology: developmental - learning - personality - social","C","ERA",NA
"5096","Current Research in Social Psychology","C","ERA",NA
"5097","Current Research in the Pleistocene","C","ERA",NA
"5098","Current Respiratory Medicine Reviews","C","ERA",NA
"5099","Current Science","C","ERA",0.725
"5100","Current Sociology","B","ERA",1.647
"5101","Current Stem Cell Research and Therapy","C","ERA",2.614
"5102","Current Swedish Archaeology","B","ERA",NA
"5103","Current Therapeutic Research: clinical and experimental","B","ERA",NA
"5104","Current Therapeutics: Australia's journal of disease management and drug treatment","C","ERA",NA
"5105","Current Topics in Cellular Regulation","A","ERA",NA
"5106","Current Topics in Developmental Biology","B","ERA",4.035
"5107","Current Topics in Medicinal Chemistry","B","ERA",3.218
"5108","Current Topics in Membranes","C","ERA",3.744
"5109","Current Topics in Microbiology and Immunology","A","ERA",3.095
"5110","Current Topics in Nutraceutical Research","C","ERA",0.564
"5111","Current Topics in Veterinary Medicine and Animal Science","C","ERA",NA
"5112","Current Women's Health Reviews","C","ERA",NA
"5113","Current Writing: text and reception in southern Africa","C","ERA",NA
"5114","Current Zoology","C","ERA",2.351
"5115","Currents in Biblical Research","A","ERA",NA
"5116","Currents: International Trade Law Journal","C","ERA",NA
"5117","Curriculum and Teaching","B","ERA",NA
"5118","Curriculum Inquiry","A","ERA",1.111
"5119","Curriculum Journal","B","ERA",NA
"5120","Curriculum Matters","B","ERA",0.25
"5121","Curriculum Perspectives","B","ERA",NA
"5122","Cutaneous and Ocular Toxicology","C","ERA",1.385
"5123","Cutbank","C","ERA",NA
"5124","CW3 Journal: Corvey Women writers on the web","C","ERA",NA
"5125","Cybernetics and Human Knowing: a journal of second order cybernetics, autopoiesis and cyber-
semiotics","C","ERA",NA
"5126","Cybernetics and Information Technologies","C","ERA",NA
"5127","Cybernetics and Systems","B","ERA",1.433
"5128","Cybernetics and Systems Analysis","C","ERA",NA
"5129","CyberPsychology and Behavior: the impact of the Internet, multi-media and virtual reality on
behavior and society","B","ERA",NA
"5130","Cybium: revue internationale d'ichtyologie","C","ERA",NA
"5131","Cycnos","C","ERA",NA
"5132","Cyfrwng: Media Wales Journal - Cyfnodolyn Cyfrangau Cymru","C","ERA",NA
"5133","Cyro-Letters","B","ERA",NA
"5134","Cytogenetic and Genome Research","C","ERA",1.114
"5135","Cytokine","C","ERA",2.952
"5136","Cytokine and Growth Factor Reviews","A","ERA",5.982
"5137","Cytometry Part A","B","ERA",3.124
"5138","Cytometry Part B: Clinical Cytometry","C","ERA",NA
"5139","Cytopathology","C","ERA",1.493
"5140","Cytotechnology: international journal of cell culture and biotechnology","C","ERA",NA
"5141","Cytotherapy","B","ERA",4.218
"5142","Czech and Slovak Pharmacy","C","ERA",NA
"5143","Czech and Slovak Psychiatry","C","ERA",NA
"5144","Czech Gynaecology","C","ERA",NA
"5145","Czech Journal of Food Science","C","ERA",NA
"5146","Czech Mycology","C","ERA",NA
"5147","Czech Stomatology and Practical Dentistry","C","ERA",NA
"5148","Czechoslovak Mathematical Journal","B","ERA",0.412
"5149","DAAAM International Scientific Book","C","ERA",NA
"5150","Dacia: Revue d'archeologie et d'histoire ancienne","B","ERA",NA
"5151","Dacoromania (Cluj-Napoca, 1998)","C","ERA",NA
"5152","Daedalus","C","ERA",1.146
"5153","Daehan Geumsog Haghoeji","C","ERA",NA
"5154","Daimon: revista de filosofia","C","ERA",NA
"5155","Dairy Science and Technology","C","ERA",NA
"5156","Dalhousie French Studies","B","ERA",NA
"5157","Dalhousie Journal of Legal Studies","C","ERA",NA
"5158","Dalhousie Law Journal","A","ERA",NA
"5159","Dalian Shuichan Xueyuan Xuebao","C","ERA",NA
"5160","Dalton Transactions: an international journal of inorganic chemistry","A+","ERA",NA
"5161","Dance Chronicle","C","ERA",NA
"5162","Dance Research","A","ERA",NA
"5163","Dance Research Journal","B","ERA",NA
"5164","Dangdai Waiguo Wenxue","C","ERA",NA
"5165","Danish Yearbook of Musicology","C","ERA",NA
"5166","Danish Yearbook of Philosophy","C","ERA",NA
"5167","Dansk Teologisk Tidsskrift","C","ERA",NA
"5168","Dante Studies: with the Annual Report of the Dante Society","B","ERA",NA
"5169","Dao: a journal of comparative philosophy","B","ERA",NA
"5170","Daphne: tidskrift foer botanik i Soedermanland och Uppland","C","ERA",NA
"5171","DARU","C","ERA",NA
"5172","Darwiniana","C","ERA",NA
"5173","Das Achtzehnte Jahrhundert und Oesterreich","B","ERA",NA
"5174","Das Altertum","A","ERA",NA
"5175","Das Argument: Zeitschrift fuer Philosophie und Sozialwissenschaften","C","ERA",NA
"5176","Das Hochschulwesen","C","ERA",NA
"5177","Das Muenster: Zeitschrift fuer Christliche Kunst und Kunstwissenschaft","B","ERA",NA
"5178","Data and Knowledge Engineering","B","ERA",1.476
"5179","Data Base for Advances in Information Systems","B","ERA",1.588
"5180","Data Mining and Knowledge Discovery","A","ERA",2.629
"5181","Data Science Journal","C","ERA",NA
"5182","Day Surgery Australia","C","ERA",NA
"5183","De Academische Boekengids","C","ERA",NA
"5184","De Achttiende Eeuw: Documentatieblad Werkgroep Achttiende Eeuw","B","ERA",NA
"5185","De Arte","B","ERA",NA
"5186","De Economist","C","ERA",NA
"5187","De Gulden Passer","C","ERA",NA
"5188","De Jure","B","ERA",NA
"5189","De Tweede Ronde: tijdschrift voor literatuur","C","ERA",NA
"5190","Dead Sea Discoveries: a journal of current research on the scrolls and related literature","A","ERA",NA
"5191","Deaf Worlds: international journal of deaf studies","C","ERA",NA
"5192","Deafness and Education International","B","ERA",NA
"5193","Deakin Law Review","C","ERA",NA
"5194","Death Studies","B","ERA",1.361
"5195","Debate Feminista","C","ERA",NA
"5196","Debatte: review of contemporary German affairs","B","ERA",NA
"5197","Decision Analysis","C","ERA",1.281
"5198","Decision Sciences","A+","ERA",2.014
"5199","Decision Sciences Journal of Innovative Education","B","ERA",NA
"5200","Decision Support Systems","A+","ERA",4.721
"5201","Decisions in Economics and Finance: a journal of applied mathematics","C","ERA",NA
"5202","Deep-Sea Research. Part 1: Oceanographic Research Papers","A","ERA",NA
"5203","Deep-Sea Research. Part 2: Topical Studies in Oceanography","B","ERA",NA
"5204","Deerghayu International","C","ERA",NA
"5205","Defect and Diffusion Forum","C","ERA",NA
"5206","Defence and Peace Economics","B","ERA",1.247
"5207","Defence and Security Analysis","C","ERA",NA
"5208","Defence Science Journal","C","ERA",0.73
"5209","Defence Studies","C","ERA",NA
"5210","Defense Counsel Journal","C","ERA",NA
"5211","Defense Transportation Journal","C","ERA",NA
"5212","Deformatsiya i Razrushenie Materialov","C","ERA",NA
"5213","Deinsea: Annual of the Natural History Museum Rotterdam","C","ERA",NA
"5214","Dejiny Ved a Techniky","C","ERA",NA
"5215","Delaware Journal of Corporate Law","B","ERA",NA
"5216","Delaware Law Review","C","ERA",NA
"5217","Delaware Medical Journal","C","ERA",NA
"5218","Delaware Review of Latin American Studies","B","ERA",NA
"5219","Deleuze Studies","B","ERA",NA
"5220","Delhi Business Review","C","ERA",NA
"5221","Delta Pi Epsilon Journal","C","ERA",NA
"5222","Dementia","B","ERA",NA
"5223","Dementia and Geriatric Cognitive Disorders","B","ERA",2.31
"5224","Democratization","A","ERA",1.745
"5225","Demofilo: revista de cultura tradicional","C","ERA",NA
"5226","Demografia","C","ERA",NA
"5227","Demographic Research","A","ERA",1.438
"5228","Demography","A+","ERA",3.08
"5229","Demography India: population - society - economy - environment - interactions","B","ERA",NA
"5230","Demonstratio Mathematica","C","ERA",NA
"5231","Den Jyske Historiker","B","ERA",NA
"5232","Dendrobiology","C","ERA",1.375
"5233","Dendrochronologia","C","ERA",2.293
"5234","Denki Kako Gakkaishi","C","ERA",NA
"5235","Denki Kako Gijutsu","C","ERA",NA
"5236","Denning Law Journal","C","ERA",NA
"5237","Dental Anthropology","C","ERA",NA
"5238","Dental Association of Thailand Journal","C","ERA",NA
"5239","Dental Health","C","ERA",NA
"5240","Dental Materials","A+","ERA",4.495
"5241","Dental Materials Journal","C","ERA",1.359
"5242","Dental Traumatology","B","ERA",1.53
"5243","Dental Update","C","ERA",NA
"5244","Dentistry (London, 2002)","C","ERA",NA
"5245","Dentomaxillofacial Radiology","B","ERA",1.796
"5246","Denver Journal of International Law and Policy","B","ERA",NA
"5247","Denver University Law Review","B","ERA",NA
"5248","DePaul Business and Commercial Law Journal","C","ERA",NA
"5249","DePaul Journal of Art and Entertainment Law","C","ERA",NA
"5250","DePaul Journal of Health Care Law","B","ERA",NA
"5251","DePaul Law Review","C","ERA",NA
"5252","Depression and Anxiety","A","ERA",4.702
"5253","Depression and Anxiety","A","ERA",4.702
"5254","Der Anaesthesist: Zeitschrift fuer Anaesthesie, Intensivmedizin, Notfall- und Katastrophenmedizin,
Schmerzmedizin","C","ERA",NA
"5255","Der Chirurg: Zeitschrift fuer alle Gebiete der operativen Medizin","C","ERA",NA
"5256","Der Hautarzt: Zeitschrift fuer Dermatologie, Allergologie, Venerologie und verwandte Gebiete","C","ERA",NA
"5257","Der Internist","C","ERA",NA
"5258","Der Kardiologe","C","ERA",NA
"5259","Der Nervenarzt: Monatsschrift fuer alle Gebiete nervenaerztlicher Forschung und Praxis","C","ERA",NA
"5260","Der Neurologe und Psychiater","C","ERA",NA
"5261","Der Pathologe: pathologie und klinik","C","ERA",NA
"5262","Der Radiologe: Zeitschrift fuer diagnostische und interventionelle Radiologie, Radioonkologie,
Nuklearmedizin","C","ERA",NA
"5263","Der Schmerz: Konzepte, Klinik und Forschung","C","ERA",NA
"5264","Der Unfallchirurg","B","ERA",NA
"5265","Der Zoologische Garten","C","ERA",NA
"5266","Derbyshire Archaeological Journal","C","ERA",NA
"5267","Derivatives and Financial instruments","C","ERA",NA
"5268","Dermatologic Clinics","B","ERA",3.164
"5269","Dermatologic Surgery","B","ERA",2.567
"5270","Dermatologic Therapy","B","ERA",2.327
"5271","Dermatology Nursing","C","ERA",NA
"5272","Dermatology: international journal for clinical and investigative dermatology","B","ERA",NA
"5273","Desacatos: revista de antropologia social","C","ERA",NA
"5274","Desalination","B","ERA",7.098
"5275","Desarrollo Economico: revista de ciencias sociales","B","ERA",NA
"5276","Descriptions of Ectomycorrhizae","C","ERA",NA
"5277","DESIDOC Journal of Library and Information Technology","C","ERA",NA
"5278","Design and Technology Education","B","ERA",NA
"5279","Design Automation for Embedded Systems","C","ERA",2.767
"5280","Design Issues","A+","ERA",NA
"5281","Design Journal","A+","ERA",NA
"5282","Design Management Journal","B","ERA",NA
"5283","Design Philosophy Papers","B","ERA",NA
"5284","Design Principles and Practices","B","ERA",NA
"5285","Design Research Quarterly","B","ERA",NA
"5286","Design Studies","A+","ERA",2.791
"5287","Design, Codes and Cryptography","A","ERA",NA
"5288","Detroit Institute of Arts Bulletin","C","ERA",NA
"5289","Deus Loci: the Lawrence Durrell journal","C","ERA",NA
"5290","Deutsch als Fremdsprache","A","ERA",NA
"5291","Deutsche Lebensmittel-Rundschau","B","ERA",0.048
"5292","Deutsche Mathematiker Vereinigung. Jahresbericht","C","ERA",NA
"5293","Deutsche Morgenlaendische Gesellschaft. Zeitschrift","A","ERA",NA
"5294","Deutsche Sprache: Zeitschrift fuer Theorie, Praxis und Dokumentation","B","ERA",NA
"5295","Deutsche Vierteljahrsschrift fuer Literaturwissenschaft und Geistesgeschichte","B","ERA",NA
"5296","Deutsche Zeitschrift fur Philosophie","C","ERA",NA
"5297","Deutsches Archaeologisches Institut. Athenische Abteilung. Mitteilungen - Athenische Mitteilungen","A","ERA",NA
"5298","Deutsches Archaeologisches Institut. Jahrbuch","A","ERA",NA
"5299","Deutsches Archaeologisches Institut. Roemische Abteilung. Mitteilungen","A","ERA",NA
"5300","Deutsches Archiv fur Erforschung des Mittelalters","A","ERA",NA
"5301","Deutsches Dante-Jahrbuch","B","ERA",NA
"5302","Deutschunterricht","A","ERA",NA
"5303","Developing Practice: the child youth and family work journal","C","ERA",NA
"5304","Developing World Bioethics","B","ERA",1.431
"5305","Developing World Bioethics","B","ERA",1.431
"5306","Development (Cambridge)","A+","ERA",NA
"5307","Development and Change","B","ERA",2.246
"5308","Development and Learning in Organizations: an international journal","C","ERA",NA
"5309","Development and Psychopathology","A","ERA",3.385
"5310","Development and Society","C","ERA",NA
"5311","Development Bulletin","C","ERA",NA
"5312","Development in Practice","C","ERA",NA
"5313","Development Policy Review","B","ERA",1.093
"5314","Development Review","C","ERA",NA
"5315","Development Southern Africa","C","ERA",0.806
"5316","Development, Genes and Evolution","B","ERA",NA
"5317","Development, Growth and Differentiation","C","ERA",NA
"5318","Developmental and Comparative Immunology","B","ERA",3.192
"5319","Developmental Biology","A","ERA",2.895
"5320","Developmental Brain Research","C","ERA",NA
"5321","Developmental Cell","A+","ERA",10.092
"5322","Developmental Dynamics","B","ERA",3.275
"5323","Developmental Medicine and Child Neurology","B","ERA",4.406
"5324","Developmental Neurobiology","B","ERA",3.935
"5325","Developmental Neuropsychology","A","ERA",1.477
"5326","Developmental Neuropsychology","A","ERA",1.477
"5327","Developmental Neurorehabilitation","C","ERA",1.707
"5328","Developmental Neuroscience","C","ERA",3.041
"5329","Developmental Psychobiology","A","ERA",2.021
"5330","Developmental Psychology","A+","ERA",3.063
"5331","Developmental Review","A","ERA",3.727
"5332","Developmental Science","A","ERA",3.722
"5333","Developments in Animal and Veterinary Sciences","C","ERA",NA
"5334","Developments in Aquaculture and Fisheries Science","C","ERA",NA
"5335","Developments in Biologicals","C","ERA",NA
"5336","Developments in Crop Science","C","ERA",NA
"5337","Developments in Hematology and Immunology","C","ERA",NA
"5338","Deviance et Societe","C","ERA",0.317
"5339","Deviant Behavior","B","ERA",1.348
"5340","Devil's Millhopper","C","ERA",NA
"5341","DH Lawrence Review","C","ERA",NA
"5342","DH Lawrence Society Journal","B","ERA",NA
"5343","Diabetes","A+","ERA",7.72
"5344","Diabetes - Metabolism: Research and Reviews","B","ERA",NA
"5345","Diabetes and Metabolism","B","ERA",4.731
"5346","Diabetes and Vascular Disease Research","C","ERA",2.707
"5347","Diabetes Care","A+","ERA",16.019
"5348","Diabetes Nutrition and Metabolism","C","ERA",NA
"5349","Diabetes Research and Clinical Practice","B","ERA",4.234
"5350","Diabetes Research and Clinical Practice. Supplement","C","ERA",NA
"5351","Diabetes, Obesity and Metabolism. Supplement","C","ERA",NA
"5352","Diabetes, Obesity and Metabolism: a journal of pharmacology and therapeutics","B","ERA",NA
"5353","Diabetic Foot","C","ERA",NA
"5354","Diabetic Medicine","B","ERA",3.083
"5355","Diabetologia","A+","ERA",7.518
"5356","Diachronica: international journal for historical linguistics","A+","ERA",NA
"5357","Diacovensia","C","ERA",NA
"5358","Diacritics: a review of contemporary criticism","A","ERA",NA
"5359","Diagnostic Cytopathology","C","ERA",1.229
"5360","Diagnostic Microbiology and Infectious Disease","B","ERA",2.499
"5361","Diagnostic Molecular Pathology","B","ERA",NA
"5362","Diagnostica: Zeitschrift fuer Psychologische Diagnostik und Differentielle Psychologie, zugleich
Informationsorgan ueber psychologische Tests und Untersuchungsmethoden.","B","ERA",NA
"5363","Diakonian Tutkimus","C","ERA",NA
"5364","Dialectica: the official journal of the European Society for Analytic Philosophy","A","ERA",NA
"5365","Dialectical Anthropology","B","ERA",NA
"5366","Dialectologia et Geolinguistica","B","ERA",0.231
"5367","Dialogos","C","ERA",NA
"5368","Dialogue (Milwaukee)","C","ERA",NA
"5369","Dialogue and Universalism: toward synergy of civilizations","C","ERA",NA
"5370","Dialogue-Canadian Philosophical Review","B","ERA",NA
"5371","Dialogues d'histoire Ancienne","A","ERA",NA
"5372","Dialysis and Transplantation","C","ERA",NA
"5373","Diametros: internetowe czasopismo filozoficzne","C","ERA",NA
"5374","Diamond and Related Materials","B","ERA",2.65
"5375","Dianoia","C","ERA",NA
"5376","Dianyuan Jishu","C","ERA",NA
"5377","Dianzi Yu Xinxi Xuebao","C","ERA",NA
"5378","Diaspora, Indigenous, and Minority Education","C","ERA",NA
"5379","Diaspora: a journal of transnational studies","A","ERA",NA
"5380","Diatom Research","C","ERA",1.076
"5381","Dickens Quarterly","C","ERA",NA
"5382","Dickensian","B","ERA",NA
"5383","Didaktisk Tidskrift.  Nordic Journal of Teaching and Learning for Practitioners and Researchers","C","ERA",NA
"5384","Didaskalia: ancient theater today","B","ERA",NA
"5385","Diderot Studies","A","ERA",NA
"5386","Die Alte Stadt","B","ERA",NA
"5387","Die Bodenkultur: Austrian journal of agricultural research","C","ERA",NA
"5388","Die Denkmalpflege","C","ERA",NA
"5389","Die Kunde: Zeitschrift fuer Ur- und Fruehgeschichte","B","ERA",NA
"5390","Die Pharmazie: an international journal of pharmaceutical sciences","C","ERA",NA
"5391","Die Philosophin: Forum fur Feministische Theorie und Philosophie","B","ERA",NA
"5392","Die Sprache: Zeitschrift fuer Sprachwissenschaft","B","ERA",NA
"5393","Die Welt des Islams: internationale Zeitschrift fuer die Geschichte des Islams in der Neuzeit -
international journal for the history of modern Islam","A","ERA",NA
"5394","Dieciocho: Hispanic enlightenment","C","ERA",NA
"5395","Dier - en - Arts: wetenschappelijke praktijkgerichte informatie","C","ERA",NA
"5396","Dietsche Warande en Belfort: tijdschrift voor letterkunde en geestesleven","C","ERA",NA
"5397","Differences: a journal of feminist cultural studies","B","ERA",NA
"5398","Differential and Integral Equations: an international journal for theory and applications","A","ERA",NA
"5399","Differential Equations","C","ERA",0.677
"5400","Differential Equations and Dynamical Systems: an international journal for theory and applications","C","ERA",NA
"5401","Differential Equations and Nonlinear Mechanics","C","ERA",NA
"5402","Differential Geometry and Its Applications","A","ERA",0.556
"5403","Differential Geometry-Dynamical Systems","C","ERA",NA
"5404","Differentiation","B","ERA",2.392
"5405","Diffusion Fundamentals","B","ERA",NA
"5406","Digest of Middle East Studies","B","ERA",NA
"5407","Digestion: international journal of gastroenterology","B","ERA",NA
"5408","Digestive and Liver Disease","B","ERA",3.57
"5409","Digestive Diseases and Sciences","B","ERA",2.751
"5410","Digestive Diseases: clinical reviews","C","ERA",NA
"5411","Digestive Endoscopy","B","ERA",4.774
"5412","Digestive Surgery","C","ERA",2.167
"5413","Digital Creativity","A+","ERA",NA
"5414","Digital Evidence and Electronic Signature Law Review","C","ERA",NA
"5415","Digital Forensics, Security and Law. Journal","C","ERA",NA
"5416","Digital Humanities Quarterly","B","ERA",NA
"5417","Digital Investigation","C","ERA",1.736
"5418","Digital Signal Processing","B","ERA",2.871
"5419","Digital Technology Law Journal","C","ERA",NA
"5420","Dikaiosyne","C","ERA",NA
"5421","Dike: rivista di storia del diritto greco ed ellenistico","B","ERA",NA
"5422","Dilema: Revista de Filosofía","C","ERA",NA
"5423","Dilthey-Jahrbuch: fuer Philosophie und Geschichte der Geisteswissenschaften","B","ERA",NA
"5424","Dimensioni e Problemi della Ricerca Storica","C","ERA",NA
"5425","Dimensions (Ann Arbor)","C","ERA",NA
"5426","Dimensions in Critical Care Nursing","C","ERA",NA
"5427","Diogenes (English Edition)","C","ERA",NA
"5428","Dionysius","B","ERA",NA
"5429","Diotima: epitheoresis philosophikes erevnes - revue de recherche philosophique - review of
philosophical research","C","ERA",NA
"5430","Diplomacy and Statecraft","B","ERA",0.297
"5431","Diplomatic History: the journal of the Society for Historians of American Foreign Relations","A","ERA",NA
"5432","Diqiu Huaxue","C","ERA",NA
"5433","Diqiu Wuli Xuebao","C","ERA",NA
"5434","Dirasat: Pure Sciences","C","ERA",NA
"5435","Directions in Psychiatry","C","ERA",NA
"5436","Diritto Marittimo: rivista trimestrale di dottrina giurisprudenza legislazione italiana e straniera","C","ERA",NA
"5437","Disability and Rehabilitation","C","ERA",2.222
"5438","Disability and Rehabilitation","C","ERA",2.222
"5439","Disability and Rehabilitation Assistive Technology","C","ERA",NA
"5440","Disability and Society","A","ERA",1.852
"5441","Disability Studies Quarterly","A","ERA",NA
"5442","Disaster Management and Response","C","ERA",NA
"5443","Disaster Prevention and Management: an international journal","C","ERA",NA
"5444","Disasters: the journal of disaster studies, policy and management","B","ERA",NA
"5445","Discourse (Abingdon): studies in the cultural politics of education","A","ERA",NA
"5446","Discourse (Detroit, 1979): journal for theoretical studies in media and culture","A","ERA",NA
"5447","Discourse (Heslington)","C","ERA",NA
"5448","Discourse and Communication","B","ERA",1.475
"5449","Discourse and Society: an international journal for the study of discourse and communication in
their social, political and cultural contexts","A","ERA",NA
"5450","Discourse Processes","A","ERA",1.612
"5451","Discourse Studies: an interdisciplinary journal for the study of text and talk","B","ERA",NA
"5452","Discovery and Innovation","C","ERA",NA
"5453","Discrete and Computational Geometry: an international journal of mathematics and computer
science","A","ERA",NA
"5454","Discrete and Continuous Dynamical Systems. Series A","A","ERA",NA
"5455","Discrete and Continuous Dynamical Systems. Series B: a journal bridging mathematics and sciences","A","ERA",NA
"5456","Discrete Applied Mathematics","A","ERA",1.041
"5457","Discrete Dynamics in Nature and Society","C","ERA",0.87
"5458","Discrete Event Dynamic Systems","C","ERA",NA
"5459","Discrete Mathematics","B","ERA",0.77
"5460","Discrete Mathematics and Applications","B","ERA",NA
"5461","Discrete Mathematics and Theoretical Computer Science","B","ERA",0.442
